IP,Assigned_Place,Status,Date of Creation,Main_Node,Nearby_Nodes
192.168.1.2,Parassini_Kadavu,Active,2024-10-01,Kannur,Dharmassala
192.168.1.3,Kannur,Inactive,2024-10-02,Kannur,Kannur
192.168.1.4,Chittariparamba,Active,2024-10-03,Kannur,Kuthuparamba
192.168.1.5,Kuthuparamba,Inactive,2024-10-04,Kannur,Kannur
192.168.1.6,Dharmassala,Active,2024-10-05,Kannur,Kannur
192.168.1.7,Vattoli,Active,2024-10-05,Kannur,Kuthuparamba
192.168.1.8,Kolmotta,Active,2024-10-05,Kannur,Dharmassala
192.168.1.9,Podikkundu,Active,2024-10-05,Kannur,Caltex
192.168.1.10,Kozhikode,Active,2024-10-05,KozhiKode,KozhiKode
192.168.1.11,xyz,Active,2024-10-05,KozhiKode,xyz
192.168.1.1,xyy,Active,2024-10-05,KozhiKode,xyz
192.168.1.22,MHB,Active,2024-10-05,Kannur,Dharmassala
